_id,receiptId,brandCode,barcode,brandName,description,quantity,price,isBonus,needsFetchReview
06bae05b-c80c-4319-b5fc-f6ab51828381,5f9c74f70a7214ad07000037,UNKNOWN,075925306254,075925306254,UNKNOWN,1,1.0,False,False
8305330c-8f27-4f98-bd4d-b93ffd919505,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
17205ae7-835c-4509-a41f-5afe45a2ba47,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
e61ab956-1aeb-4320-b794-0676d5872904,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
095f7487-0fc3-4881-8d99-cda36ddd881e,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
602c205f-299d-4ed8-bc5d-e86f9a99778b,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
fe39b089-ccea-4591-af93-20d9203bc48e,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
0e856f30-a4a0-451b-a22a-ff8f480af76f,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
7f753cb9-9cd8-4df7-9c88-c1f1f228f8e2,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
95cda081-6b12-48ec-aff9-da82bef23cf7,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
40ed13b0-c1e4-4d5f-a6b4-1942466c91ae,5f9c74f70a7214ad07000037,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,True
d6d6b379-cca8-49ec-a609-1a2e76110926,5f9c74f90a7214ad07000038,UNKNOWN,075925306254,075925306254,UNKNOWN,1,1.0,False,False
e11d8042-a031-49ab-9422-bb6c95a340b9,5f9c74f90a7214ad07000038,UNKNOWN,075925306254,075925306254,UNKNOWN,2,10.0,False,False
fa4ee005-8b57-469c-b6eb-79e6fe790dd5,5f9c74f90a7214ad07000038,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,1.0,False,False
501a7527-456a-4e47-b4b8-f0da2fa1a027,5f9c74f90a7214ad07000038,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,1.0,False,False
d4cf5aac-4898-426b-b9da-305775ef29e8,5f9c74f90a7214ad07000038,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,1.0,False,False
1284b5c9-2d14-4a51-9197-ee133090c340,5fa5ad370a720f05ef000089,UNKNOWN,075925306254,075925306254,UNKNOWN,1,1.0,False,False
5108d63c-b099-42dd-8b83-499bb86f61a3,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
7cae75df-70e1-4b52-a5b3-85ffc30638ea,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
0dad7bf6-d208-4fd5-8659-a77a4c2547ac,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
77ded689-44e2-4fdf-b7f0-73d09e037bf0,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
6f0e6bae-6d8b-42be-ac7e-eeb4e1aed869,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
da6afbb6-7fdd-4d08-afc9-53eee693727d,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
fcf7c1b1-049f-4f4c-8c44-0f22fd941904,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
fe5a4c39-2063-4904-a8ea-4147c27d29af,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
87fe57fe-6413-4845-9876-50fb1306939c,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
6cabd1b6-1534-4850-97fd-aeaa2da2c952,5fa5ad370a720f05ef000089,UNKNOWN,034100573065,034100573065,MILLER LITE 24 PACK 12OZ CAN,1,29.0,False,False
29d86cde-94ef-4f11-a2df-0fe9e1d89ebd,5fa5b0ca0a720f05ef0000bf,UNKNOWN,075925306254,075925306254,UNKNOWN,1,1.0,False,False
d4839e42-db46-408f-a5e5-2112502e3f92,5fa5b0ca0a720f05ef0000bf,UNKNOWN,075925306254,075925306254,UNKNOWN,2,10.0,False,False
